magnitude,tsunami,significance,num_stations,min_distance,rms,gap,depth,severe
5.4,0,449,172.0,4.614,0.51,38.0,10.0,1
3.1,0,148,9.0,1.336,0.67,300.0,10.0,0
6.1,0,572,284.0,16.565,0.8,19.0,10.0,1
6.2,0,600,275.0,4.083,0.51,21.0,31.11,1
3.0,0,138,30.0,0.83,0.52,207.0,35.0,0
4.1,0,259,26.0,4.661,0.58,152.0,10.0,0
4.0,0,246,59.0,2.965,0.5,141.0,444.772,0
4.3,0,284,40.0,0.935,1.26,55.0,135.158,0
4.3,0,284,29.0,6.226,0.38,75.0,510.158,0
6.0,0,559,115.0,3.451,0.74,21.0,68.0,1
3.6,0,199,47.0,0.002,0.7,91.0,9.669,0
4.9,0,370,114.0,0.908,0.43,34.0,10.0,0
3.27,0,165,3.0,0.4655,0.12,334.0,80.33,0
4.8,0,354,51.0,1.051,0.66,135.0,38.266,0
6.5,1,729,113.0,2.12,0.62,87.0,13.0,1
4.5,0,312,101.0,0.974,0.55,92.0,45.185,0
5.6,0,482,193.0,1.473,0.65,46.0,10.0,1
1.07,0,18,56.0,0.04737,0.18,36.0,14.4,0
3.5,0,188,19.0,0.326,0.61,201.0,73.874,0
3.6,0,199,18.0,0.761,0.49,234.0,30.27,0
4.7,0,340,100.0,10.228,0.66,98.0,10.0,0
3.64,0,204,7.0,0.4614,0.29,343.0,53.0,0
5.0,0,387,86.0,5.954,0.71,39.0,39.974,0
1.03,0,16,41.0,0.1109,0.21,72.0,5.26,0
4.9,0,373,98.0,1.318,0.7,44.0,10.0,0
6.2,1,594,119.0,2.994,0.53,25.0,34.0,1
5.3,0,432,63.0,4.577,0.69,75.0,10.0,0
1.9,0,56,22.0,0.1,0.2,69.0,7.3656,0
4.7,0,340,40.0,3.208,0.52,112.0,47.429,0
6.5,0,785,156.0,0.706,1.08,65.0,70.808,1
3.26,0,164,22.0,0.8666,0.19,224.0,19.68,0
3.1,0,148,13.0,1.277,0.26,273.0,10.0,0
